OBJECTID,School Name,District,DPI Unique ID,School Type,Agency Type,Grade Range,School Style,Choice School?,Full Address,School Website,Lowest Grade,Highest Grade,CESA,District ID,School Code,Choice Reporting Type,Virtual?,Physical Street Address,City,State,ZIP Code,County,Locale Code,Locale,Latitude,Longitude,Wisconsin State Assembly,Wisconsin State Senate,US Congressional,x,y
43,Blessed Sacrament Elementary,Madison Metropolitan,S32690238,Elementary School,Private school,K4-08,Unknown,No,"2112 Hollister Ave  Madison, WI 53726-3958",https://www.school.blsacrament.org,K4,08,2,3269,0238,,No,2112 Hollister Ave,Madison,WI,53726-3958,Dane,11,City - Large,43.06670299,-89.42256604,77,26,2,567014.8014,288383.869899999
44,Blessed Sacrament Elementary,La Crosse,S28491299,Elementary School,Private school,03-06,Unknown,Yes,"2404 King St  La Crosse, WI 54601-4398",https://www.aquinascatholicschools.org,03,06,4,2849,1299,Voucher Students,No,2404 King St,La Crosse,WI,54601-4398,La Crosse,13,City - Small,43.80969299,-91.21998404,95,32,3,421876.4464,371459.4516
45,Blessed Savior Catholic School,Milwaukee,S36191507,Elementary School,Private school,K4-08,Unknown,Yes,"5140 N 55th St  Milwaukee, WI 53218",,K4,08,1,3619,1507,All Students,No,5140 N 55th St,Milwaukee,WI,53218,Milwaukee,11,City - Large,43.11138398,-87.98076302,11,4,4,684289.3723,295162.821900001
46,Blessed Trinity Catholic School,Lodi,S31506800,Elementary School,Private school,K4-08,Unknown,No,"109 S Military Rd  Dane, WI 53529",https://www.btcatholic.us,K4,08,5,3150,6800,,No,109 S Military Rd,Dane,WI,53529,Dane,41,Rural - Fringe,43.24927098,-89.50141301,81,27,2,560474.3693,308617.1831
47,Bloom360 Learning Community,East Troy Community,S15401754,Combined Elementary/Secondary School,Private school,KG-12,Unknown,No,"N8921 Stone School Rd  East Troy, WI 53120-2331",https://www.bloom360.org,KG,12,2,1540,1754,,No,N8921 Stone School Rd,East Troy,WI,53120-2331,Walworth,41,Rural - Fringe,42.81435402,-88.336823,33,11,5,655971.7175,261540.889699999
48,Blooming Grove Montessori School,Madison Metropolitan,S32691778,Elementary School,Private school,K4-08,Unknown,No,"4560 Rustic Dr  Madison, WI 53718-6559",https://bloominggrovemontessori.com,K4,08,2,3269,1778,,No,4560 Rustic Dr,Madison,WI,53718-6559,Dane,21,Suburb - Large,43.09667102,-89.26965498,78,26,2,579435.9185,291808.863
49,Brookfield Academy,Elmbrook,S07140256,Combined Elementary/Secondary School,Private school,K4-12,Unknown,No,"3462 N Brookfield Rd  Brookfield, WI 53045-2500",https://www.brookfieldacademy.org,K4,12,1,0714,0256,,No,3462 N Brookfield Rd,Brookfield,WI,53045-2500,Waukesha,21,Suburb - Large,43.08243201,-88.14300197,13,5,5,671160.1684,291642.304099999
50,Brookfield Christian School,Elmbrook,S07141845,Elementary School,Private school,KG-08,Unknown,No,"14155 W Burleigh Rd  Brookfield, WI 53005-7698",https://www.brookfieldchristian.org,KG,08,1,0714,1845,,No,14155 W Burleigh Rd,Brookfield,WI,53005-7698,Waukesha,21,Suburb - Large,43.07414499,-88.08855304,13,5,5,675613.4151,290821.593699999
51,Burlington Catholic School,Burlington Area,S07775890,Elementary School,Private school,K4-08,Unknown,Yes,"225 W State St  Burlington, WI 53105-1897",https://ourbcs.org,K4,08,2,0777,5890,All Students,No,225 W State St,Burlington,WI,53105-1897,Racine,31,Town - Fringe,42.67553731,-88.28078039,33,11,1,660867.5859,246217.602600001
52,Calvary Baptist Christian School,Watertown Unified,S61250268,Elementary School,Private school,K4-08,Unknown,Yes,"792 Milford St  Watertown, WI 53094-6022",https://www.cbcs.org,K4,08,2,6125,0268,Voucher Students,No,792 Milford St,Watertown,WI,53094-6022,Jefferson,31,Town - Fringe,43.179733,-88.75152202,38,13,5,621464.7966,301530.671800001
53,Capitoland Christian School,Madison Metropolitan,S32691138,Elementary School,Private school,K4-03,Unknown,No,"3651 Maple Grove Dr  Madison, WI 53719-4881",https://www.capitoland.com,K4,03,2,3269,1138,,No,3651 Maple Grove Dr,Madison,WI,53719-4881,Dane,11,City - Large,43.00921399,-89.496334,80,27,2,561046.8886,281961.0595
54,Carr Valley Amish School,Weston,S63541589,Elementary School,Private school,01-08,Unknown,No,"S3057 County Road G  La Valle, WI 53941",,01,08,3,6354,1589,,No,S3057 County Road G,La Valle,WI,53941,Sauk,42,Rural - Distant,43.53485233,-90.16462354,41,14,3,506698.7772,340225.1863
55,Carter's Christian Academy Inc,Milwaukee,S36191382,Combined Elementary/Secondary School,Private school,K4-12,Unknown,Yes,"5268 N 35th St  Milwaukee, WI 53209",,K4,12,1,3619,1382,Voucher Students,No,5268 N 35th St,Milwaukee,WI,53209,Milwaukee,11,City - Large,43.11343101,-87.95603197,11,4,4,686296.0554,295438.9375
56,Cathedral Elementary,La Crosse,S28490305,Elementary School,Private school,K4-02,Unknown,Yes,"1319 Ferry St  La Crosse, WI 54601-4851",https://www.aquinascatholicschools.org,K4,02,4,2849,0305,Voucher Students,No,1319 Ferry St,La Crosse,WI,54601-4851,La Crosse,13,City - Small,43.80606698,-91.23676997,95,32,3,420520.3227,371076.7689
57,Cathedral School,Superior,S56630306,Elementary School,Private school,K4-08,Unknown,No,"1419 Baxter Ave  Superior, WI 54880-1798",https://www.superiorcathedralschool.org,K4,08,12,5663,0306,,No,1419 Baxter Ave,Superior,WI,54880-1798,Douglas,22,Suburb - Midsize,46.721547,-92.09527702,73,25,7,359881.7644,696353.328
58,Catholic Central High School,Burlington Area,S07770307,High School,Private school,09-12,Unknown,Yes,"148 McHenry St  Burlington, WI 53105-1826",https://www.catholiccentralhs.org,09,12,2,0777,0307,Voucher Students,No,148 McHenry St,Burlington,WI,53105-1826,Racine,31,Town - Fringe,42.67471834,-88.28159551,33,11,1,660802.6453,246125.300799999
59,Catholic East Elementary,Milwaukee,S36190309,Elementary School,Private school,K4-08,Unknown,Yes,"2461 N Murray Ave  Milwaukee, WI 53211-4493",https://www.catholiceast.org,K4,08,1,3619,0309,All Students,No,2461 N Murray Ave,Milwaukee,WI,53211-4493,Milwaukee,11,City - Large,43.06293499,-87.885829,19,7,4,692149.3196,289972.808599999
60,Catholic Memorial High School of Waukesha Inc,Waukesha,S61740310,High School,Private school,09-12,Unknown,Yes,"601 E College Ave  Waukesha, WI 53186-5598",https://www.catholicmemorial.net,09,12,1,6174,0310,Voucher Students,No,601 E College Ave,Waukesha,WI,53186-5598,Waukesha,13,City - Small,43.00220102,-88.219991,83,28,5,665082.0878,282596.5108
61,Celebration Lutheran School,Appleton Area,S01471175,Elementary School,Private school,K4-08,Unknown,Yes,"3100 E Evergreen Dr  Appleton, WI 54913-9206",https://www.celebrationlutheran.net,K4,08,6,0147,1175,Voucher Students,No,3100 E Evergreen Dr,Appleton,WI,54913-9206,Outagamie,13,City - Small,44.30265899,-88.36265602,52,18,8,650603.905,426792.9837
62,Central Wisconsin Christian School,Waupun,S62168650,Combined Elementary/Secondary School,Private school,KG-12,Unknown,Yes,"301 Fox Lake Rd  Waupun, WI 53963-1798",https://www.wearecwc.org,KG,12,6,6216,8650,All Students,No,301 Fox Lake Rd,Waupun,WI,53963-1798,Dodge,32,Town - Distant,43.62812601,-88.753129,37,13,6,620589.4325,351326.213300001
63,CERT School,Racine Unified,S46201698,High School,Private school,12-12,Unknown,Yes,"1437 Marquette St  Racine, WI 53404-2743",https://www.greatlakesccc.org,12,12,1,4620,1698,Voucher Students,No,1437 Marquette St,Racine,WI,53404-2743,Racine,13,City - Small,42.73909702,-87.79257002,62,21,1,700686.972,254205.4235
64,CERT School,Milwaukee,S36191743,High School,Private school,12-12,Unknown,Yes,"2224 W Kilbourn Ave  Milwaukee, WI 53233-1614",https://www.greatlakesccc.org,12,12,1,3619,1743,Voucher Students,No,2224 W Kilbourn Ave,Milwaukee,WI,53233-1614,Milwaukee,11,City - Large,43.04247799,-87.94091202,18,6,4,687719.7337,287589.385500001
65,Chesterton Academy of Milwaukee Inc,Menomonee Falls,S34371734,High School,Private school,09-12,Unknown,Yes,"N74W13646 Appleton Ave  Menomonee Falls, WI 53051",https://www.chestertonacademymilwaukee.org,09,12,1,3437,1734,Voucher Students,No,N74W13646 Appleton Ave,Menomonee Falls,WI,53051,Waukesha,21,Suburb - Large,43.15298001,-88.07973402,24,8,5,676130.7866,299592.997500001
66,Chileda Institute Inc,La Crosse,S28490329,Combined Elementary/Secondary School,Private school,KG-12,Unknown,No,"1825 Victory St  La Crosse, WI 54601-7201",https://www.chileda.org,KG,12,4,2849,0329,,No,1825 Victory St,La Crosse,WI,54601-7201,La Crosse,13,City - Small,43.78020298,-91.22888302,96,32,3,421112.0694,368194.7369
67,Chilton Area Catholic School,Chilton,S10850330,Elementary School,Private school,K4-08,Unknown,Yes,"60 E Washington St  Chilton, WI 53014-1262",https://www.chiltonareacatholic.org,K4,08,7,1085,0330,Voucher Students,No,60 E Washington St,Chilton,WI,53014-1262,Calumet,42,Rural - Distant,44.03020797,-88.16089284,3,1,8,667374.8475,396872.2117
68,Christ Alone Lutheran Academy,Montello,S36894880,Elementary School,Private school,KG-02,Unknown,No,"313 E Montello St  Montello, WI 53949-9603",https://www.stjohnsmontello.org,KG,02,5,3689,4880,,No,313 E Montello St,Montello,WI,53949-9603,Marquette,43,Rural - Remote,43.79136998,-89.31869297,39,13,6,574814.2838,368926.728499999
69,Christ Alone Lutheran Academy,Princeton,S46061889,Elementary School,Private school,03-08,Unknown,No,"227 Harvard St  Princeton, WI 54968",https://christalonelutheranacademy.org,03,08,5,4606,1889,,No,227 Harvard St,Princeton,WI,54968,Green Lake,43,Rural - Remote,43.84836902,-89.12501401,39,13,6,590329.7505,375403.780400001
70,Christ Alone Lutheran School,Mequon-Thiensville,S34790280,Elementary School,Private school,K4-08,Unknown,Yes,"110 Division St  Thiensville, WI 53092-1901",https://christaloneschool.org,K4,08,1,3479,0280,Voucher Students,No,110 Division St,Thiensville,WI,53092-1901,Ozaukee,21,Suburb - Large,43.22600198,-87.98525698,23,8,6,683617.3709,307883.0471
