OBJECTID,School Name,District,School Type,Agency Type,Grade Range,Lowest Grade,Highest Grade,School Style,Charter?,Virtual?,CESA,District ID,School Code,DPI Unique Join Code,NCES Code,NCES District Code,NCES School Code,Full Address,Physical Street Address,City,State,ZIP Code,County of District Office,Locale Code,Locale,School Website,Wisconsin Assembly District,Wisconsin Senate District,US Congressional District,County (Physical),Latitude,Longitude,x,y
624,Franklin Elementary,Manitowoc,Elementary School,Public school,KG-05,KG,05,Regular,No,No,7,3290,0060,S32900060,550861000973,5508610,00973,"800 S 35th St  Manitowoc, WI 54220-4299",800 S 35th St,Manitowoc,WI,54220-4299,Manitowoc,32,Town - Distant,https://franklin.manitowocpublicschools.org,25,9,6,Manitowoc,44.09261758,-87.69009152,704908.1904,404754.0276
625,Franklin Elementary,Milwaukee,Elementary School,Public school,PK-08,K4,08,Regular,No,No,1,3619,0179,S36190179,550960001165,5509600,01165,"2308 W Nash St  Milwaukee, WI 53206-1830",2308 W Nash St,Milwaukee,WI,53206-1830,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,16,6,4,Milwaukee,43.08516661,-87.94163122,687544.8078,292328.711200001
626,Franklin Elementary,Oshkosh Area,Elementary School,Public school,KG-05,KG,05,Regular,No,No,6,4179,0105,S41790105,551119002699,5511190,02699,"1401 W 5th Ave  Oshkosh, WI 54902-5697",1401 W 5th Ave,Oshkosh,WI,54902-5697,Winnebago,13,City - Small,https://www.oshkosh.k12.wi.us,54,18,6,Winnebago,44.01264961,-88.57146299,634507.7769,394269.7579
627,Franklin Elementary,Wausau,Elementary School,Public school,KG-05,KG,05,Regular,No,No,9,6223,0060,S62230060,551590002048,5515900,02048,"1509 N 5th St  Wausau, WI 54403-3563",1509 N 5th St,Wausau,WI,54403-3563,Marathon,13,City - Small,https://www.wausauschools.org,85,29,7,Marathon,44.96905595,-89.62481634,549586.124,499581.3773
628,Franklin Elementary,West Allis-West Milwaukee,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,6300,0060,S63000060,551626002103,5516260,02103,"2060 S 86th St  West Allis, WI 53227-1795",2060 S 86th St,West Allis,WI,53227-1795,Milwaukee,21,Suburb - Large,https://www.wawmsd.org,14,5,4,Milwaukee,43.00697421,-88.01924048,681432.4737,283492.9779
629,Franklin High,Franklin Public,High School,Public school,09-12,09,12,Regular,No,No,1,1900,0060,S19000060,550483000522,5504830,00522,"8222 S 51st St  Franklin, WI 53132-9293",8222 S 51st St,Franklin,WI,53132-9293,Milwaukee,21,Suburb - Large,https://www.franklin.k12.wi.us,63,21,1,Milwaukee,42.89594299,-87.97777628,685108.5703,271243.249199999
630,Franklin Middle,Green Bay Area Public,Middle School,Public school,06-08,06,08,Regular,No,No,7,2289,0300,S22890300,550582000623,5505820,00623,"1233 Lore Ln  Green Bay, WI 54303",1233 Lore Ln,Green Bay,WI,54303,Brown,12,City - Midsize,https://www.gbaps.org,89,30,8,Brown,44.5194663,-88.04907906,675042.7614,451422.5769
631,Franklin Middle,Janesville,Middle School,Public school,06-08,06,08,Regular,No,No,2,2695,0080,S26950080,550702000759,5507020,00759,"450 N Crosby Ave  Janesville, WI 53548-3340",450 N Crosby Ave,Janesville,WI,53548-3340,Rock,13,City - Small,https://www.janesville.k12.wi.us/fra,44,15,1,Rock,42.68546516,-89.05079515,597761.8819,246323.924000001
632,Fratney Elementary,Milwaukee,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,3619,0182,S36190182,550960001166,5509600,01166,"3255 N Fratney St  Milwaukee, WI 53212-2240",3255 N Fratney St,Milwaukee,WI,53212-2240,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,10,4,4,Milwaukee,43.07772367,-87.90210354,690783.0167,291581.887700001
633,Fratt Elementary,Racine Unified,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,4620,0118,S46200118,551236001611,5512360,01611,"3501 Kinzie Ave  Racine, WI 53405-2499",3501 Kinzie Ave,Racine,WI,53405-2499,Racine,13,City - Small,https://www.rusd.org,62,21,1,Racine,42.72184672,-87.82185787,698338.9897,252227.486400001
634,Frederic 6-12 School,Frederic,High School,Public school,06-12,06,12,Regular,No,No,11,1939,0040,S19390040,550486000526,5504860,00526,"1437 Clam Falls Dr  Frederic, WI 54837",1437 Clam Falls Dr,Frederic,WI,54837,Polk,43,Rural - Remote,https://www.frederic.k12.wi.us,75,25,7,Polk,45.67095534,-92.45442501,328826.0798,580419.4438
635,Frederic Elementary,Frederic,Elementary School,Public school,PK-05,K4,05,Regular,No,No,11,1939,0020,S19390020,550486000525,5504860,00525,"305 Birch St  Frederic, WI 54837",305 Birch St,Frederic,WI,54837,Polk,43,Rural - Remote,https://www.fredericsd.org,75,25,7,Polk,45.66358103,-92.46159456,328242.4621,579617.3191
636,Freedom Elementary,Freedom Area,Elementary School,Public school,PK-05,K4,05,Regular,No,No,6,1953,0020,S19530020,550492000532,5504920,00532,"N3569 County Road E  Freedom, WI 54913-9253",N3569 County Road E,Freedom,WI,54913-9253,Outagamie,41,Rural - Fringe,https://www.freedomschools.k12.wi.us,5,2,8,Outagamie,44.36756393,-88.31707692,654091.5511,434075.9312
637,Freedom High,Freedom Area,High School,Public school,09-12,09,12,Regular,No,No,6,1953,0060,S19530060,550492000533,5504920,00533,"N4021 County Road E  Freedom, WI 54130-7593",N4021 County Road E,Freedom,WI,54130-7593,Outagamie,41,Rural - Fringe,https://www.freedomschools.k12.wi.us,5,2,8,Outagamie,44.384465,-88.29273941,655991.59,435993.367000001
638,Freedom Middle,Freedom Area,Middle School,Public school,06-08,06,08,Regular,No,No,6,1953,0040,S19530040,550492000534,5504920,00534,"N4021 County Road E  Freedom, WI 54130-7593",N4021 County Road E,Freedom,WI,54130-7593,Outagamie,41,Rural - Fringe,https://www.freedomschools.k12.wi.us,5,2,8,Outagamie,44.384465,-88.29273941,655991.59,435993.367000001
639,Fremont Elementary,Weyauwega-Fremont,Elementary School,Public school,KG-05,KG,05,Regular,No,No,6,6384,0040,S63840040,551650002157,5516500,02157,"615 Wolf River Dr  Fremont, WI 54940",615 Wolf River Dr,Fremont,WI,54940,Waupaca,42,Rural - Distant,https://www.wegafremont.k12.wi.us,57,19,8,Waupaca,44.26314519,-88.87507975,609790.0679,421715.725
640,Fremont STEM Academy Inc.,Weyauwega-Fremont,Middle School,Public school,05-08,05,08,Regular,Yes,No,6,6384,0200,S63840200,551650003172,5516500,03172,"615 Wolf River Dr  Fremont, WI 54940-9029",615 Wolf River Dr,Fremont,WI,54940-9029,Waupaca,42,Rural - Distant,https://www.fremontstemacademy.org/,57,19,8,Waupaca,44.26314498,-88.87507999,609790.0491,421715.702199999
